dataset,split,seed,method,attempt,status,exit_code,elapsed_sec,exp_dir
wikiart_mixed,D-Medium,42,scale-aware-v1,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\scale-aware-v1_D-Medium_seed42
wikiart_mixed,D-Medium,42,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-Medium_seed42
wikiart_mixed,D-High,42,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed42
wikiart_mixed,D-High,42,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed42
wikiart_mixed,D-High,42,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed42
wikiart_mixed,D-High,52,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed52
wikiart_mixed,D-High,52,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed52
wikiart_mixed,D-High,52,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed52
wikiart_mixed,D-High,62,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed62
wikiart_mixed,D-High,62,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed62
wikiart_mixed,D-High,62,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed62
wikiart_mixed,D-High,72,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed72
wikiart_mixed,D-High,72,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed72
wikiart_mixed,D-High,72,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed72
wikiart_mixed,D-High,82,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed82
wikiart_mixed,D-High,82,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed82
wikiart_mixed,D-High,82,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed82
wikiart_mixed,D-Medium,42,scale-aware-v1,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\scale-aware-v1_D-Medium_seed42
wikiart_mixed,D-Medium,42,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-Medium_seed42
wikiart_mixed,D-High,42,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed42
wikiart_mixed,D-High,42,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed42
wikiart_mixed,D-High,42,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed42
wikiart_mixed,D-High,52,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed52
wikiart_mixed,D-High,52,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed52
wikiart_mixed,D-High,52,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed52
wikiart_mixed,D-High,62,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed62
wikiart_mixed,D-High,62,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed62
wikiart_mixed,D-High,62,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed62
wikiart_mixed,D-High,72,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed72
wikiart_mixed,D-High,72,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed72
wikiart_mixed,D-High,72,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed72
wikiart_mixed,D-High,82,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-High_seed82
wikiart_mixed,D-High,82,p3-only-long,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p3-only-long_D-High_seed82
wikiart_mixed,D-High,82,p2-p3-replay,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-p3-replay_D-High_seed82
wikiart_mixed,D-Medium,42,scale-aware-v1,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\scale-aware-v1_D-Medium_seed42
wikiart_mixed,D-Medium,42,p2-only,0,skip_completed,0,0.0,kmc_lora\results\scale_aware_multidataset_v1\wikiart_mixed\p2-only_D-Medium_seed42
